index,WTA,Location,Tournament,Court,Surface,Winner,WRank,LRank,B365W,PSW,MaxW,AvgW,ATP,year
19.0_0.0_Istanbul Cup,19.0,Istanbul,Istanbul Cup,Outdoor,Clay,Martic P.,40.0,46.0,2.62,2.86,2.86,2.7,0.0,2019
20.0_0.0_Porsche Tennis Grand Prix,20.0,Stuttgart,Porsche Tennis Grand Prix,Indoor,Clay,Kvitova P.,3.0,15.0,1.5,1.52,1.55,1.49,0.0,2019
21.0_0.0_J&T Banka Prague Open,21.0,Prague,J&T Banka Prague Open,Outdoor,Clay,Teichmann J.,146.0,106.0,2.1,2.36,2.38,2.2,0.0,2019
22.0_0.0_Grand Prix SAR Lalla Meryem,22.0,Rabat,Grand Prix SAR Lalla Meryem,Outdoor,Clay,Sakkari M.,51.0,47.0,2.1,2.2,2.25,2.14,0.0,2019
23.0_0.0_Mutua Madrid Open,23.0,Madrid,Mutua Madrid Open,Outdoor,Clay,Bertens K.,7.0,3.0,2.5,2.43,2.55,2.41,0.0,2019
24.0_0.0_Internazionali BNL d'Italia,24.0,Rome,Internazionali BNL d'Italia,Outdoor,Clay,Pliskova Ka.,7.0,42.0,1.57,1.56,1.62,1.58,0.0,2019
25.0_0.0_Nürnberger Versicherungscup,25.0,Nürnberg,Nürnberger Versicherungscup,Outdoor,Clay,Putintseva Y.,39.0,68.0,1.72,1.74,1.8,1.71,0.0,2019
26.0_0.0_Internationaux de Strasbourg,26.0,Strasbourg,Internationaux de Strasbourg,Outdoor,Clay,Yastremska D.,42.0,24.0,1.72,1.82,1.83,1.73,0.0,2019
27.0_0.0_French Open,27.0,Paris,French Open,Outdoor,Clay,Barty A.,8.0,38.0,1.62,1.6,1.64,1.59,0.0,2019
28.0_0.0_Rosmalen Grass Court Championships,28.0,'s-Hertogenbosch,Rosmalen Grass Court Championships,Outdoor,Grass,Riske A.,61.0,4.0,3.4,3.47,3.5,3.24,0.0,2019
29.0_0.0_Nottingham Open,29.0,Nottingham,Nottingham Open,Outdoor,Grass,Garcia C.,28.0,22.0,2.5,2.6,2.6,2.43,0.0,2019
30.0_0.0_Birmingham Classic ,30.0,Birmingham,Birmingham Classic ,Outdoor,Grass,Barty A.,2.0,19.0,1.28,1.28,1.3,1.26,0.0,2019
31.0_0.0_Mallorca Open,31.0,Mallorca,Mallorca Open,Outdoor,Grass,Kenin S.,30.0,13.0,2.5,2.7,2.7,2.53,0.0,2019
32.0_0.0_Eastbourne International,32.0,Eastbourne,Eastbourne International,Outdoor,Grass,Pliskova Ka.,3.0,5.0,1.72,1.78,1.78,1.73,0.0,2019
33.0_0.0_Wimbledon,33.0,London,Wimbledon,Outdoor,Grass,Halep S.,7.0,10.0,2.65,2.61,2.7,2.57,0.0,2019
34.0_0.0_Bucharest Open,34.0,Bucharest,Bucharest Open,Outdoor,Clay,Rybakina E.,106.0,,1.57,1.68,1.69,1.6,0.0,2019
35.0_0.0_Ladies Open Lausanne,35.0,Lausanne,Ladies Open Lausanne,Outdoor,Clay,Ferro F.,98.0,48.0,2.5,2.44,2.54,2.43,0.0,2019
36.0_0.0_Baltic Open,36.0,Jurmala,Baltic Open,Outdoor,Clay,Sevastova A.,11.0,194.0,1.22,1.31,1.31,1.23,0.0,2019
37.0_0.0_Internazionali Femminili di Palermo,37.0,Palermo,Internazionali Femminili di Palermo,Outdoor,Clay,Teichmann J.,82.0,5.0,4.5,5.56,5.56,4.88,0.0,2019
38.0_0.0_Mubadala Silicon Valley Classic,38.0,San Jose,Mubadala Silicon Valley Classic,Outdoor,Hard,Zheng S.,55.0,10.0,3.2,3.28,3.3,3.1,0.0,2019
39.0_0.0_Citi Open,39.0,Washington,Citi Open,Outdoor,Hard,Pegula J.,79.0,62.0,2.62,2.7,2.7,2.57,0.0,2019
40.0_0.0_Rogers Cup,40.0,Toronto,Rogers Cup,Outdoor,Hard,Andreescu B.,27.0,10.0,2.37,2.58,2.6,2.46,0.0,2019
